Site Name,City,State,Latitude,Longitude
Amjad Ali Shah's Mausoleum, Lucknow, Uttar Pradesh, 26.848333, 80.911389
Amjad Ali Shah's Mausoleum, Faizabad, Uttar Pradesh, 26.7733, 82.1503
Amreli Distt., Amreli, Gujarat, 21.6127, 71.2333
Konark Sun Temple, Konark, Odisha, 19.8714, 86.0073
Jami Masjid, Ahmedabad, Gujarat, 23.0293, 72.5033
Anandaparvata Hill, Kanyakumari, Tamil Nadu, 8.7833, 77.1667 
Old Rameshwara Temple, Rameswaram, Tamil Nadu, 9.2883, 79.3733
Ancient Mosque, Palam, Delhi, 28.5583, 76.9003
Anchaleshwar Temple, Surat, Gujarat, 21.1703, 72.7856
Anchaleshwar Temple, Ratnagiri, Maharashtra, 17.1733, 73.6553
Ancient Buddhist Mounds locally known as 'Dhana Dibbalu', Tirumala, Andhra Pradesh, 13.65, 79.4
Sun Temple, Modhera, Gujarat, 23.485, 72.133 
Lad Khan Temple, Aihole, Karnataka, 15.9183, 75.9183
Ancient Temple, Bahulara, West Bengal, 22.6333, 86.7333
Charminar, Hyderabad, Telangana, 17.3667, 78.4987
Ardhanari Nateshwar Temple, Ujjain, Madhya Pradesh, 23.1823, 75.7763
Ardhanari Nateshwar Temple, Aurangabad, Maharashtra, 19.8833, 75.5167
Red Fort, Delhi, Delhi, 28.6569, 77.1025
Arquilla Moat, Hampi, Karnataka, 15.3347, 76.4603
Ashoka Rock Edict, Jaugada, Odisha, 19.0443, 84.5176
Ashoka Rock Edict, New Delhi, Delhi, 28.5602, 77.2923
Ashoka's Pillar, Delhi, Delhi, 28.7043, 77.1025
Ashoka's pillar, Ferozabad (Ferozshah Kila or Vikram Nagar Colony), Delhi, 28.4067, 77.0493
Ashokan Pillar, Meerut, Uttar Pradesh, 28.9843, 77.7043
Azim Khan Tomb, Lado Sarai, Delhi, 28.5603, 77.1873
BALALINGESHWARA TEMPLE, Bangalore, Karnataka, 12.9716, 77.5933
Bana Theeratha and Eshwara Temple, Hampi, Karnataka, 15.3346, 76.4603
Basaveshwara Temple, Solapur, Maharashtra, 17.6717, 75.9105
Lalbagh Garden, Bengaluru, Karnataka, 12.9716, 77.5947
Bhimeshwara Swamy Temple, Bhimavaram, Andhra Pradesh, 16.6553, 81.6855
SRI ANANTHA PADMANABHASWAMY TEMPLE, Thiruvananthapuram, Kerala, 8.0879, 77.5517
BYATARAYASWAMY TEMPLE, Bangalore, Karnataka, 12.9716, 77.5933
Baba Sahebara Palace, Nagpur, Maharashtra, 21.0923, 79.0557
Humayun's Tomb, New Delhi, Delhi, 28.7041, 77.1025 
Bhangarh, Alwar, Rajasthan, 27.2333, 76.7833
Begampuri Masjid, Begampur, West Bengal, 22.6703, 88.3947
Begumpuri Masjid & Bijai Mandal, Delhi, Delhi, 28.7043, 77.1025
Bekal Fort, Bekal, Kerala, 12.048333, 75.178611
Belgaum fort, Belgaum, Karnataka, 15.8503, 74.4996
Belpan, Bilaspur, Chhattisgarh, 22.0743, 82.1393
Bhabaniswar Mandir, Bhubaneswar, Odisha, 20.2966, 85.8347
Bhageshwara Temple, Kanyakumari, Tamil Nadu, 8.0843, 77.6683
Bhandasar Jain Temple, Bikaner, Rajasthan, 28.0103, 73.3139
Bhangar Basappas Temple, Hampi, Karnataka, 15.3207, 76.0383
Biran-Ka-Gumbad-282, Delhi, Delhi, 28.7043, 77.1025
Bisal Deo ji's Temple, Kumbhalgarh, Rajasthan, 25.0453, 73.3205
Ajanta Caves, Aurangabad, Maharashtra, 20.0536, 75.7007
Sanchi Stupa, Sanchi, Madhya Pradesh, 43.0083, 77.7333 
CHAMUNDESHWARI TEMPLE AND MAHABALESHWARA TEMPLE ON THE HILL, Mysore, Karnataka, 12.3072, 76.6583
Channakeshava Temple, Somanathapura, Karnataka, 12.2963, 76.9141
Channakeshavaswamy Temple, Mysore, Karnataka, 12.2953, 76.6394
Chatteshwara Temple, Ranakpur, Rajasthan, 25.0517, 73.4508
Chennigaraya Temple, Melur, Tamil Nadu, 10.0333, 78.6333
CHOKKANATHESWHARA TEMPLE, Kanchipuram, Tamil Nadu, 12.8353, 79.6992
Khaspur Ruins Of Kachari Kingdom Palace, Karimganj, Assam, 24.933468142472286, 92.93158236839608
Maa Mahishasura Mardini Chaiturgarh, Bilaspur, Chhattisgarh, 22.51098955494924, 82.27167218366505
Shri Gourishwara Swamy Temple (Yelanduru), Yelandur, Karnataka, 12.047945166396627, 77.02984563393245
Chashme Shahi Garden, Srinagar, Jammu and Kashmir, 34.16345663548204, 74.90227452453303
Nand Bhavan 84 khamma Old Gokul Mahavan, Mahaban, Uttar Pradesh,27.429195198862573, 77.74149312615158
Tomb of Mirza Nizammudin Aziz-ka-Kokaltash, New Delhi, Delhi, 28.591704952074313, 77.2431453412902
Chausath Khamba and tomb of Mirza Nizammudin Aziz-ka-Kokaltash, Nizammudin, Delhi,28.59128107828908, 77.2429951378373
Chennakeshava Swamy Temple , Belur, Karanataka, 13.360790308754472, 75.82737262564862
Chetak Samadhi Haldighati, Udaipur, Rajasthan, 24.886944131473577, 73.6927046107233
Brihadeeswara Temple, Thanjavur, Tamil Nadu, 10.78339099995036, 79.13128703788264
Charminar, Hyderabad, Telangana, 17.361717843243515, 78.47471914915212
Chor Minar No.289 Vol III, Kharehra, Delhi, 28.547848590743143, 77.20558368016442
Daulatabad Fort, Daulatabad, Maharashtra,19.945106481242316, 75.22018218024763
Danteswari temple, Dantewada, Chhattisgarh, 18.896999001044644, 81.34463083754297
Daragh of Hazarat Khwaja Bande Nawaz, Gulbarga, Karnataka,17.344165144871614, 76.85099343935757
Dariyakhan Tomb, Ahmedabad, Gujarat,23.052795692968477, 72.58672187998187
Deeg Bhawan (Palaces), Deeg, Rajasthan, 27.47249922879247, 77.32366901108396
Red Fort, Delhi, Delhi, 28.65644593384555, 77.24099722304388
Kaal Bhairav Temple, Ujjain, Madhya Pradesh,23.221349313087995, 75.7693124811221
jama masjid shahdara, Lucknow, Uttar Pradesh, 26.83888103369985, 80.83775504398662
Shri Madhukeshwara Temple, Banavasi, Karnataka, 14.550218246403723, 75.01632580447377
Ellora Caves, Aurangabad, Maharashtra, 20.03339680085023, 75.17605692580152
Firoz Minar, Gaur, West Bengal,24.873987848834368, 88.13042923770907
Gwalior Fort, Gwalior, Madhya Pradesh,26.23152657977166, 78.16945278008241
Amber Fort, Jaipur, Rajasthan, 26.98591673050851, 75.85136685729772
Fort of Chittaur, Chittor, Rajasthan, 24.884113350933557, 74.64731286387527
Fort of Kumbhalgarh, Kumbhalgarh, Rajasthan,25.157416815870796, 73.58635118640491
Teen Darwaza, Ahmedabad, Gujarat,23.024690303648843, 72.58452953765229
Virupaksha Temple, Hampi, Karnataka, 15.33577411027167, 76.45872508751039
Diu Fort, Diu,  Dadra and Nagar Haveli and Daman and Diu,20.719340232469992, 70.99615429096956
Gomateshwara Statue, Shravanabelagola, Karnataka,12.854203086827965, 76.48467803742685
Ganesh Temple, Hajo, Assam, 26.264616364666015, 91.5608257595974
Ganesh-Ganj or Atru, Atru, Rajasthan,24.92957016469653, 76.63932488957718
Group of Monuments at Hampi, Hampi, Karnataka, 15.335445293038196, 76.4618541003576
Gauri Shankar Temple, Kullu, Himachal Pradesh, 32.113274258372066, 77.1641077668115
Gangaur Ghat, Udaipur, Rajasthan24.58574275950668, 73.68152124002644
Golkonda Fort, Hyderabad, Telangana, 17.385438025702317, 78.40092949042173
Ancient Shri Gourishwara Swamy Temple , Mudigere, Karnataka, 12.047275286954646, 77.02988354111433
Grave of Jahanara Begum, Delhi, Delhi, 28.591410227011334, 77.24184445502928
Grave of Mohammed Shah, Delhi, Delhi, 28.59462071591945, 77.21824413686815
Grishneshwar Temple, Verul, Maharashtra, 20.02502494389116, 75.16989969524175
Khajuraho Group of Monuments, Khajuraho, Madhya Pradesh,25.030808375961442, 79.8375939090992
Pracheen Hanuman Mandir, Connaught Place, Delhi, 28.63713302387005, 77.21486364976425
Hatakeshwara Temple, Srisailam, Andhra Pradesh, 16.860011554870486, 78.74195328879097
Hawa Mahal , Veerpura, Rajasthan,27.059432297533625, 75.81486441776853
Mehrangarh Fort, Jodhpur, Rajasthan, 26.29860189072287, 73.01876000332537
Kangra Valley, Dharamshala, Himachal Pradesh, 32.167174373054, 76.50004284693705
Humayun's tomb, Delhi, Delhi, 28.593407240004975, 77.25072773783742
Mahabalipuram Cave Temple, Mahabalipuram, Tamil Nadu,12.620575178576924, 80.19990322696019
Bara Immambara, Lucknow, Uttar Pradesh,26.86884569395927, 80.91270790966081
Iron Pillar of Delhi, Delhi, Delhi, 28.52490642564439, 77.18500891084868
Sri Eashwara Temple, Bangalore, Karnataka,13.078827107175947, 77.56109498804574
Ancient Shri Aghoreshwara Swamy Devalaya (Ikkeri), Kalmane, Karnataka,14.486376516738357, 75.05974562813995
Jagannath Temple, Puri, Odisha, 19.890191176373833, 85.81244534051854
Jageshwari Caves, Mumbai, Maharashtra, 19.13915506240519, 72.85728991241209
Jagner Fort, Dholpur, Rajasthan,26.86021994586051, 77.59959855126834
Jambunathana, Madikeri, Karnataka,15.243422826246354, 76.35716905823031
Arunachaleswarar Temple, Tiruvannamalai, Tamil Nadu,12.2458182951123, 79.06605156161218
Jami Masjidi, Ahmedabad, Gujarat, 23.02433906567868, 72.58714291066624
Jantar Mantar, New Delhi, Delhi, 28.627214769808, 77.21666961085249
Jharneshwar Mahadev Waterfall,Gafarda, Madhya Pradesh,24.894414255041735, 75.2943394542728
Jilakarragudem (Hamlet of Guntupalle), Guntupalle, Telangana, 17.01680302865559, 81.13383645079638
Bhimeshwar Hindu Temple, Bhimtal, Uttarakhand, 29.342965570061857, 79.56321832252294
Shri Kashi Vishwanath Temple, Varanasi, Uttar Pradesh, 25.312370984493132, 83.0105995621974
Shri Kashi Vishwanath Temple Ganga Dwar, Varanasi, Uttar Pradesh, 25.311207127334516, 83.01265949864005
Khandagiri Hill, Bhubaneswar, Odisha, 20.261380414637564, 85.78339701296929
Kolaba Fort, Mumbai, Maharashtra, 18.63430354653175, 72.86447465287937
Koppal Fort, Koppal, Karnataka, 15.34020768414027, 76.14860002212576
Kos Minar, Delhi, Delhi, 28.547417887776138, 77.28557930898715
Kos Minar, Delhi, Delhi, 28.609525493901575, 77.24300728917207
Anoor megalithic Site, Thirupporur, Tamil Nadu, 12.589761187221129, 79.97424887575717
