S.No.,Name of Monument / Sites,Location,District
72,Baisgazi Wall,Gaur,Malda
73,Baraduary Masjid or the Great Golden Mosque,Gaur,Malda
74,Bhita of Chand Sadagar,Gaur,Malda
75,Chamkatti Masjid,Gaur,Malda
76,Chika Masjid,Gaur,Malda
77,Dakhil Masjid,Gaur,Malda
78,Firoz Minar,Gaur,Malda
79,Gumti Gateway,Gaur,Malda
80,Gunamant Mosque,Gaur,Malda
81,Kotwali Darwaja,Gaur,Malda
82,Lottan Masjid,Gaur,Malda
83,Lukochori Gateway,Gaur,Malda
84,Qadam Rasul Mosque,Gaur,Malda
85,Tomb of Fateh Khan,Gaur,Malda
86,Tantipara Masjid,Gaur,Malda
87,Two tombs in front of Tantipura Masjid,Gaur,Malda
88,Two Stone Pillars,Gaur,Malda
89,Tower,Nimasarai,Malda
90,Eklakhi Mausoleum,Pandua,Malda
91,Qutab Sahi Masjid,Pandua,Malda
92,Kurumbera Fort,Gaganeswar,Midnapore
93,John Pierce Tomb,Midnapore,Midnapore
94,Tomb of Azimunnisha Begum daughter of Murshid Quli Khan,Azimnagar,Murshidabad
95,Residency Cemetery also known as Station Burial ground,Babulbona Beharampore,Murshidabad
96,Bhabaniswar Mandir,Baranagar,Murshidabad
97,Char Bangla Group of Four Siva Temples,Baranagar,Murshidabad
98,Tomb of Mirmardan,Faridpur,Murshidabad
99,Dutch Cemetery,Kalikapur,Murshidabad
100,Old English Cemetary or Old Residence Burial Ground,Kashim Bazar,Murshidabad
101,Mosque,Kheraul,Murshidabad
102,Tomb of Alivardi Khan & the tomb of Siraj-ud-daullah,Khosbag,Murshidabad
103,Mound known as Barkona Deul Mound,Panchthupi,Murshidabad
104,Mounds known as the Devil's Mound and Raja Karna's Palace,Rangamati,Murshidabad
105,Tomb of Sujauddin,Roshnibag,Murshidabad
106,Tomb & Mosque of Murhsid Kuli Khan,Sabjikatra,Murshidabad
107,Jahan Kosa Gun,Topkhana,Murshidabad
108,Hazarduari Palace & Imambara (Murshidabad),Killa Nizamat,Murshidabad
109,Motijhil Masjid,Murshidabad,Murshidabad
110,Mound known as Bahanpukur Mound or Fort,Bamanpukur,Nadia
111,Ruins of Fort,Bamanpukur,Nadia
112,Temple,Palpara,Nadia
113,Old Temple at Banda,Banda,Purulia
114,Chandraketu's Fort,Berachampa,24 Parganas (North)
115,Ancient Mound known as Barah Mihirer Dhipi also known as Khana Mihirer Dhibi,Deulia & Kaukipara,24 Parganas (North)
116,Jattar Deul,Jata,24 Parganas (South)
117,Currency Building,Dalhousie Square,Kolkata
118,Asiatic Society Building,Park Street,Kolkata
119,Maghen David Synagogue,Ward No. 45,Kolkata
120,Beth-el-Synagogue,Pollock Street,Kolkata
121,St. John’s Church,Kolkata,Kolkata
122,Dupleix Palace(Institute de Chandan Nagar),Chandan Nagar,Hooghly
123,"South Gate, Kella Nezamat",Lalbag,Murshidabad
124,"Immambara, Kella Nezamat",Lalbag,Murshidabad
125,"White Mosque, Kella Nezamat",Lalbag,Murshidabad
126,"Yellow Mosque, Kella Nezamat",Lalbag,Murshidabad
127,"Tripolia Gate, Kella Nizamat",Lalbag,Murshidabad
128,"Dharmaraj Temple, West Bengal",Pathra,Midanapur
129,"Temples of Bandyopadhyay Family, West Bengal",Pathra,Midanapur
130,"Sitala Temples, West Bengal",Pathra,Midanapur
131,"Navratna Temple Complex , West Bengal",Pathra,Midanapur
132,"Tamluk Rajbati, West Bengal","Padumbasan, Tamluk",Purba Medinipur
133,Clive’s House Dum Dum known as Barakothi,"DUM DUM, P.O. Nagar Bazar,",Distt. 24 North Parganas
134,26 Siva Temples,Barrakpore- Khardah,Distt. North 24 Parganas
135,Nil Kuthi Mound,"Mouza Chak ,Chandpara",Distt.Mursidabad
136,Warren Hastings House,Barasat,Distt. North 24 Parganas
